nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2674 X,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,1,1,2,0,0,3,2,14,1,0,1,1,2,0,0,70.0249,554.9924,484.30007,601.05277,65.4523,600.15184,0,0,26.8685,0
n2681 =,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,2,1,2,0,3,1,0,3,2,0,2,333.70311,352.6284,500.9224,585.23191,0,9.51245,526.15491,0,0,31.10736
n2681 o,0,0,0,3,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,2,0,1,600.75252,600.11881,0,0,200.62904,155.77054,213.1121,341.14652,217.48453,148.62778
n2681 A,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,1,0,7,1,3,0,0,0,0,542.34274,582.82949,452.62598,513.70498,0,5.74084,6.2415,0,0,0
n2681 H,22,28,30,15,30,4,3,2,2,4,8,7,14,2,6,2,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,36,44,17,37,8,3,2,2,5,253.69846,0,7.1093,19.25857,160.443212,550.25299,471.34991,444.6148,443.54666,418.94797
n2681 O,27,13,21,8,5,0,0,0,0,0,13,8,15,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,1,1,40,22,36,12,17,1,0,1,1,1,80.93919,550.18681,599.85189,210.44198,65.88623,0,0,0,46.92234,61.71407
n2681 X,22,26,34,7,9,1,0,0,0,0,17,14,12,6,12,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,4,1,1,4,40,41,46,14,21,7,6,1,1,5,233.33865,0,561.23467,334.93781,184.64157,0,233.80591,0,0,22.16237
n2700 o,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,209.6785,365.43831,361.80665,262.309911,324.925035,224.99432,277.99707,213.97985,170.8239,321.45421
n2700 A,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,595.15732,0,0,0,0,376.0252,0,0,0,185.443
n2700 H,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,239.53535,0,0,0,33.0432,358.63587,0,0,0,0
n2700 O,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,613.22132,467.24411,477.59146,464.107261,274.525765,249.55979,578.55708,323.62345,512.70485,506.69687
n2700 X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99.39669,5.34032,0,0,37.3489,0,0,5.50721
n2701 =,0,0,1,2,1,0,0,0,3,4,0,0,1,2,0,2,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,0,1,5,4,301.86088,432.46612,480.26102,360.9056,139.8163,211.1759,155.4032,0,310.03854,255.1672
n2701 o,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3.70485,600.25222,0,0,0,0,0,0,0,0
n2701 A,0,0,4,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,2,0,1,0,0,3,0,0,0,462.50447,271.0212,508.5315,0,27.4359,0,0,0
n2701 H,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,262.84348,0,594.40986,540.54063,506.2619,0,0,599.685,536.902098,223.459
n2701 O,4,4,0,0,0,1,0,0,0,0,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,2,0,0,2,1,0,0,0,112.54728,0,202.06401,0,0,571.01278,399.4564,0,472.618048,173.72725
n2701 X,0,0,2,4,1,1,2,4,0,0,0,0,6,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,1,5,4,0,0,0,0,209.60721,502.75783,600.4518,596.37929,600.4859,599.685,496.182068,599.75168
n2726 =,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.8319,500.0541,395.21739,282.33614,311.77455,463.50591,395.1169,182.63901,300.62669,536.56892
n2726 A,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,304.7652,0,0,2.50327,0,0,0,0,0,0
n2726 H,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,495.615,245.68844,0,97.92811,0,0,0,0,0,0
